# Transcript
Audio: data/audio/sample.mp3
  01:23-01:23:  about
  01:23-01:23:  it
  01:23-01:24:  right
  01:24-01:24:  now.
  01:25-01:26:  So
  01:26-01:27:  standards
  01:27-01:27:  of

[01:28 -> 01:36] development lifecycle is very standard, simple. You design your solution, you develop it, you test
  01:28-01:28:  development
  01:28-01:28:  lifecycle
  01:28-01:29:  is
  01:29-01:30:  very
  01:30-01:31:  standard,
  01:31-01:32:  simple.
  01:33-01:33:  You
  01:33-01:34:  design
  01:34-01:34:  your
  01:34-01:34:  solution,
  01:35-01:35:  you
  01:35-01:35:  develop
  01:35-01:35:  it,
  01:35-01:35:  you
  01:35-01:36:  test

[01:36 -> 01:46] it, and then eventually you deploy it. And when people start doing POC with AI, it sounds simple,
  01:36-01:36:  it,
  01:36-01:36:  and
  01:36-01:36:  then
  01:36-01:37:  eventually
  01:37-01:37:  you
  01:37-01:37:  deploy
  01:37-01:37:  it.
  01:38-01:38:  And
  01:38-01:40:  when
  01:40-01:40:  people
  01:40-01:40:  start
  01:40-01:41:  doing
  01:41-01:43:  POC
  01:43-01:43:  with
  01:43-01:43:  AI,
  01:44-01:45:  it
  01:45-01:46:  sounds
  01:46-01:46:  simple,

[01:46 -> 01:55] like you can very easily do some prompt and models are very capable. But then you start facing some
  01:46-01:47:  like
  01:47-01:47:  you
  01:47-01:47:  can
  01:47-01:47:  very
  01:47-01:48:  easily
  01:48-01:49:  do
  01:49-01:49:  some
  01:49-01:49:  prompt
  01:49-01:50:  and
  01:50-01:51:  models
  01:51-01:51:  are
  01:51-01:51:  very
  01:51-01:52:  capable.
  01:52-01:53:  But
  01:53-01:53:  then
  01:53-01:53:  you
  01:53-01:54:  start
  01:54-01:55:  facing
  01:55-01:55:  some

[01:55 -> 01:57] unexpected challenges.
  01:55-01:56:  unexpected
  01:56-01:57:  challenges.

[01:59 -> 02:06] Actually, like you can easily do a POC that works 50% of the time. But like making it do the same
  01:59-01:59:  Actually,
  01:59-02:00:  like
  02:00-02:00:  you
  02:00-02:00:  can
  02:00-02:01:  easily
  02:01-02:01:  do
  02:01-02:01:  a
  02:01-02:01:  POC
  02:01-02:01:  that
  02:01-02:02:  works
  02:02-02:02:  50
  02:02-02:03: %
  02:03-02:03:  of
  02:03-02:03:  the
  02:03-02:03:  time.
  02:03-02:04:  But
  02:04-02:04:  like
  02:04-02:05:  making
  02:05-02:05:  it
  02:05-02:06:  do
  02:06-02:06:  the
  02:06-02:06:  same

[02:06 -> 02:15] reliable work, the rest of the 50% is very hard, because models are non deterministic. And it
  02:06-02:07:  reliable
  02:07-02:07:  work,
  02:07-02:08:  the
  02:08-02:08:  rest
  02:08-02:08:  of
  02:08-02:08:  the
  02:08-02:09:  50
  02:09-02:09: %
  02:09-02:09:  is
  02:09-02:10:  very
  02:10-02:10:  hard,
  02:11-02:11:  because
  02:11-02:12:  models
  02:12-02:12:  are
  02:12-02:13:  non
  02:13-02:13:  deterministic.
  02:14-02:14:  And
  02:14-02:15:  it

[02:15 -> 02:22] starts requiring a data science approach, continuous experimentation, you need to try this prompt, you
  02:15-02:16:  starts
  02:16-02:16:  requiring
  02:16-02:17:  a
  02:17-02:18:  data
  02:18-02:18:  science
  02:18-02:18:  approach,
  02:19-02:19:  continuous
  02:19-02:20:  experimentation,
  02:20-02:21:  you
  02:21-02:21:  need
  02:21-02:21:  to
  02:21-02:21:  try
  02:21-02:21:  this
  02:21-02:22:  prompt,
  02:22-02:22:  you

[02:22 -> 02:25] need to try that model, you need to try this approach, etc, etc.
  02:22-02:22:  need
  02:22-02:22:  to
  02:22-02:22:  try
  02:22-02:22:  that
  02:22-02:23:  model,
  02:23-02:23:  you
  02:23-02:23:  need
  02:23-02:23:  to
  02:23-02:23:  try
  02:23-02:24:  this
  02:24-02:24:  approach,
  02:24-02:25:  etc,
  02:25-02:25:  etc.

[02:28 -> 02:34] Everything in your solution, everything that represents your solution, which is your code, your logic, the
  02:28-02:28:  Everything
  02:28-02:29:  in
  02:29-02:29:  your
  02:29-02:29:  solution,
  02:29-02:29:  everything
  02:29-02:30:  that
  02:30-02:31:  represents
  02:31-02:31:  your
  02:31-02:32:  solution,
  02:32-02:32:  which
  02:32-02:32:  is
  02:32-02:32:  your
  02:32-02:33:  code,
  02:33-02:33:  your
  02:33-02:33:  logic,
  02:34-02:34:  the

[02:34 -> 02:41] prompt that you use, the models that you use, the data that you base your solution on, changing anything of
  02:34-02:35:  prompt
  02:35-02:35:  that
  02:35-02:35:  you
  02:35-02:35:  use,
